clean_read_id,label,genus,species,template_start,template_end
Enterobacter_bugandensis_L150_R0060,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,346632,346782
Enterobacter_bugandensis_L150_R0065,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,233846,233996
Enterobacter_bugandensis_L150_R0067,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,324653,324803
Enterobacter_bugandensis_L150_R0069,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,419750,419900
Enterobacter_bugandensis_L150_R0070,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,349435,349585
Enterobacter_bugandensis_L150_R0075,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,423037,423187
Enterobacter_bugandensis_L150_R0078,Enterobacter_bugandensis,Enterobacter,Enterobacter bugandensis,193370,193520
Enterobacter_cloacae_L150_R0003,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,374019,374169
Enterobacter_cloacae_L150_R0008,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,110518,110668
Enterobacter_cloacae_L150_R0010,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,125630,125780
Enterobacter_cloacae_L150_R0012,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,205621,205771
Enterobacter_cloacae_L150_R0013,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,2152,2302
Enterobacter_cloacae_L150_R0025,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,407714,407864
Enterobacter_cloacae_L150_R0031,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,146521,146671
Enterobacter_cloacae_L150_R0034,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,356420,356570
Enterobacter_cloacae_L150_R0035,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,487514,487664
Enterobacter_cloacae_L150_R0036,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,357183,357333
Enterobacter_cloacae_L150_R0047,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,21690,21840
Enterobacter_cloacae_L150_R0051,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,326285,326435
Enterobacter_cloacae_L150_R0052,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,483655,483805
Enterobacter_cloacae_L150_R0055,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,47560,47710
Enterobacter_cloacae_L150_R0057,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,79344,79494
Enterobacter_cloacae_L150_R0061,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,53100,53250
Enterobacter_cloacae_L150_R0064,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,326727,326877
Enterobacter_cloacae_L150_R0067,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,197703,197853
Enterobacter_cloacae_L150_R0069,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,462382,462532
Enterobacter_cloacae_L150_R0075,Enterobacter_cloacae,Enterobacter,Enterobacter cloacae,104911,105061
Enterobacter_hormaechei_L150_R0001,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,85024,85174
Enterobacter_hormaechei_L150_R0002,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,434980,435130
Enterobacter_hormaechei_L150_R0003,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,60875,61025
Enterobacter_hormaechei_L150_R0010,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,272702,272852
Enterobacter_hormaechei_L150_R0011,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,104791,104941
Enterobacter_hormaechei_L150_R0015,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,147455,147605
Enterobacter_hormaechei_L150_R0016,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,186483,186633
Enterobacter_hormaechei_L150_R0020,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,294752,294902
Enterobacter_hormaechei_L150_R0024,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,362593,362743
Enterobacter_hormaechei_L150_R0028,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,17517,17667
Enterobacter_hormaechei_L150_R0032,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,468443,468593
Enterobacter_hormaechei_L150_R0033,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,299863,300013
Enterobacter_hormaechei_L150_R0040,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,441587,441737
Enterobacter_hormaechei_L150_R0041,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,394757,394907
Enterobacter_hormaechei_L150_R0043,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,95822,95972
Enterobacter_hormaechei_L150_R0046,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,287301,287451
Enterobacter_hormaechei_L150_R0047,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,481074,481224
Enterobacter_hormaechei_L150_R0061,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,244604,244754
Enterobacter_hormaechei_L150_R0075,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,89596,89746
Enterobacter_hormaechei_L150_R0078,Enterobacter_hormaechei,Enterobacter,Enterobacter hormaechei,344569,344719
Enterobacter_kobei_L150_R0005,Enterobacter_kobei,Enterobacter,Enterobacter kobei,100585,100735
Enterobacter_kobei_L150_R0008,Enterobacter_kobei,Enterobacter,Enterobacter kobei,454637,454787
Enterobacter_kobei_L150_R0009,Enterobacter_kobei,Enterobacter,Enterobacter kobei,374608,374758
Enterobacter_kobei_L150_R0014,Enterobacter_kobei,Enterobacter,Enterobacter kobei,497182,497332
Enterobacter_kobei_L150_R0019,Enterobacter_kobei,Enterobacter,Enterobacter kobei,94563,94713
Enterobacter_kobei_L150_R0025,Enterobacter_kobei,Enterobacter,Enterobacter kobei,286721,286871
Enterobacter_kobei_L150_R0031,Enterobacter_kobei,Enterobacter,Enterobacter kobei,55397,55547
Enterobacter_kobei_L150_R0037,Enterobacter_kobei,Enterobacter,Enterobacter kobei,409041,409191
Enterobacter_kobei_L150_R0041,Enterobacter_kobei,Enterobacter,Enterobacter kobei,26512,26662
Enterobacter_kobei_L150_R0042,Enterobacter_kobei,Enterobacter,Enterobacter kobei,14474,14624
Enterobacter_kobei_L150_R0046,Enterobacter_kobei,Enterobacter,Enterobacter kobei,293667,293817
Enterobacter_kobei_L150_R0051,Enterobacter_kobei,Enterobacter,Enterobacter kobei,75284,75434
Enterobacter_kobei_L150_R0055,Enterobacter_kobei,Enterobacter,Enterobacter kobei,491461,491611
Enterobacter_kobei_L150_R0056,Enterobacter_kobei,Enterobacter,Enterobacter kobei,490926,491076
Enterobacter_kobei_L150_R0062,Enterobacter_kobei,Enterobacter,Enterobacter kobei,421098,421248
Enterobacter_kobei_L150_R0067,Enterobacter_kobei,Enterobacter,Enterobacter kobei,351600,351750
Enterobacter_kobei_L150_R0068,Enterobacter_kobei,Enterobacter,Enterobacter kobei,366090,366240
Enterobacter_kobei_L150_R0073,Enterobacter_kobei,Enterobacter,Enterobacter kobei,44994,45144
Enterobacter_kobei_L150_R0076,Enterobacter_kobei,Enterobacter,Enterobacter kobei,91817,91967
Enterobacter_kobei_L150_R0078,Enterobacter_kobei,Enterobacter,Enterobacter kobei,244612,244762
Escherichia_coli_L150_R0000,Escherichia_coli,Escherichia,Escherichia coli,328641,328791
Escherichia_coli_L150_R0012,Escherichia_coli,Escherichia,Escherichia coli,258948,259098
Escherichia_coli_L150_R0015,Escherichia_coli,Escherichia,Escherichia coli,124743,124893
Escherichia_coli_L150_R0020,Escherichia_coli,Escherichia,Escherichia coli,406845,406995
Escherichia_coli_L150_R0028,Escherichia_coli,Escherichia,Escherichia coli,105253,105403
Escherichia_coli_L150_R0031,Escherichia_coli,Escherichia,Escherichia coli,42990,43140
Escherichia_coli_L150_R0033,Escherichia_coli,Escherichia,Escherichia coli,195406,195556
Escherichia_coli_L150_R0035,Escherichia_coli,Escherichia,Escherichia coli,424499,424649
Escherichia_coli_L150_R0039,Escherichia_coli,Escherichia,Escherichia coli,303966,304116
Escherichia_coli_L150_R0042,Escherichia_coli,Escherichia,Escherichia coli,79722,79872
Escherichia_coli_L150_R0044,Escherichia_coli,Escherichia,Escherichia coli,470454,470604
Escherichia_coli_L150_R0047,Escherichia_coli,Escherichia,Escherichia coli,455838,455988
Escherichia_coli_L150_R0061,Escherichia_coli,Escherichia,Escherichia coli,280232,280382
Escherichia_coli_L150_R0063,Escherichia_coli,Escherichia,Escherichia coli,105960,106110
Escherichia_coli_L150_R0065,Escherichia_coli,Escherichia,Escherichia coli,56905,57055
Escherichia_coli_L150_R0066,Escherichia_coli,Escherichia,Escherichia coli,205959,206109
Escherichia_coli_L150_R0068,Escherichia_coli,Escherichia,Escherichia coli,370700,370850
Escherichia_coli_L150_R0070,Escherichia_coli,Escherichia,Escherichia coli,415243,415393
Escherichia_coli_L150_R0072,Escherichia_coli,Escherichia,Escherichia coli,355912,356062
Escherichia_coli_L150_R0078,Escherichia_coli,Escherichia,Escherichia coli,239333,239483
Escherichia_fergusonii_L150_R0000,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,37397,37547
Escherichia_fergusonii_L150_R0003,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,81642,81792
Escherichia_fergusonii_L150_R0007,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,265593,265743
Escherichia_fergusonii_L150_R0011,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,131460,131610
Escherichia_fergusonii_L150_R0017,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,261256,261406
Escherichia_fergusonii_L150_R0019,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,71687,71837
Escherichia_fergusonii_L150_R0022,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,395473,395623
Escherichia_fergusonii_L150_R0025,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,167382,167532
Escherichia_fergusonii_L150_R0026,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,356020,356170
Escherichia_fergusonii_L150_R0027,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,209385,209535
Escherichia_fergusonii_L150_R0028,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,245936,246086
Escherichia_fergusonii_L150_R0044,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,376652,376802
Escherichia_fergusonii_L150_R0046,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,415645,415795
Escherichia_fergusonii_L150_R0048,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,435250,435400
Escherichia_fergusonii_L150_R0059,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,206133,206283
Escherichia_fergusonii_L150_R0063,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,92656,92806
Escherichia_fergusonii_L150_R0064,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,29386,29536
Escherichia_fergusonii_L150_R0066,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,400306,400456
Escherichia_fergusonii_L150_R0077,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,444167,444317
Escherichia_fergusonii_L150_R0079,Escherichia_fergusonii,Escherichia,Escherichia fergusonii,173400,173550
Klebsiella_pneumoniae_L150_R0002,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,78772,78922
Klebsiella_pneumoniae_L150_R0005,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,51797,51947
Klebsiella_pneumoniae_L150_R0009,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,431090,431240
Klebsiella_pneumoniae_L150_R0011,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,318893,319043
Klebsiella_pneumoniae_L150_R0020,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,286070,286220
Klebsiella_pneumoniae_L150_R0021,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,33068,33218
Klebsiella_pneumoniae_L150_R0024,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,104390,104540
Klebsiella_pneumoniae_L150_R0029,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,252648,252798
Klebsiella_pneumoniae_L150_R0037,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,388121,388271
Klebsiella_pneumoniae_L150_R0039,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,395116,395266
Klebsiella_pneumoniae_L150_R0049,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,388643,388793
Klebsiella_pneumoniae_L150_R0059,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,481752,481902
Klebsiella_pneumoniae_L150_R0060,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,170054,170204
Klebsiella_pneumoniae_L150_R0061,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,233432,233582
Klebsiella_pneumoniae_L150_R0063,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,307098,307248
Klebsiella_pneumoniae_L150_R0065,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,430441,430591
Klebsiella_pneumoniae_L150_R0069,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,392002,392152
Klebsiella_pneumoniae_L150_R0073,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,388585,388735
Klebsiella_pneumoniae_L150_R0074,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,396984,397134
Klebsiella_pneumoniae_L150_R0076,Klebsiella_pneumoniae,Klebsiella,Klebsiella pneumoniae,378377,378527
Klebsiella_quasipneumoniae_L150_R0008,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,439580,439730
Klebsiella_quasipneumoniae_L150_R0010,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,326996,327146
Klebsiella_quasipneumoniae_L150_R0016,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,401073,401223
Klebsiella_quasipneumoniae_L150_R0018,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,55973,56123
Klebsiella_quasipneumoniae_L150_R0021,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,280176,280326
Klebsiella_quasipneumoniae_L150_R0022,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,33789,33939
Klebsiella_quasipneumoniae_L150_R0026,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,145848,145998
Klebsiella_quasipneumoniae_L150_R0027,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,61578,61728
Klebsiella_quasipneumoniae_L150_R0031,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,56172,56322
Klebsiella_quasipneumoniae_L150_R0037,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,38278,38428
Klebsiella_quasipneumoniae_L150_R0041,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,267356,267506
Klebsiella_quasipneumoniae_L150_R0046,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,412787,412937
Klebsiella_quasipneumoniae_L150_R0047,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,171079,171229
Klebsiella_quasipneumoniae_L150_R0049,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,364311,364461
Klebsiella_quasipneumoniae_L150_R0052,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,169949,170099
Klebsiella_quasipneumoniae_L150_R0053,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,174615,174765
Klebsiella_quasipneumoniae_L150_R0066,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,303326,303476
Klebsiella_quasipneumoniae_L150_R0068,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,380480,380630
Klebsiella_quasipneumoniae_L150_R0076,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,91073,91223
Klebsiella_quasipneumoniae_L150_R0079,Klebsiella_quasipneumoniae,Klebsiella,Klebsiella quasipneumoniae,212303,212453
Klebsiella_variicola_L150_R0004,Klebsiella_variicola,Klebsiella,Klebsiella variicola,142055,142205
Klebsiella_variicola_L150_R0005,Klebsiella_variicola,Klebsiella,Klebsiella variicola,4518,4668
Klebsiella_variicola_L150_R0006,Klebsiella_variicola,Klebsiella,Klebsiella variicola,100013,100163
Klebsiella_variicola_L150_R0010,Klebsiella_variicola,Klebsiella,Klebsiella variicola,248071,248221
Klebsiella_variicola_L150_R0011,Klebsiella_variicola,Klebsiella,Klebsiella variicola,285355,285505
Klebsiella_variicola_L150_R0017,Klebsiella_variicola,Klebsiella,Klebsiella variicola,284870,285020
Klebsiella_variicola_L150_R0020,Klebsiella_variicola,Klebsiella,Klebsiella variicola,211208,211358
Klebsiella_variicola_L150_R0021,Klebsiella_variicola,Klebsiella,Klebsiella variicola,83146,83296
Klebsiella_variicola_L150_R0032,Klebsiella_variicola,Klebsiella,Klebsiella variicola,29700,29850
Klebsiella_variicola_L150_R0033,Klebsiella_variicola,Klebsiella,Klebsiella variicola,101490,101640
Klebsiella_variicola_L150_R0035,Klebsiella_variicola,Klebsiella,Klebsiella variicola,405402,405552
Klebsiella_variicola_L150_R0040,Klebsiella_variicola,Klebsiella,Klebsiella variicola,3483,3633
Klebsiella_variicola_L150_R0060,Klebsiella_variicola,Klebsiella,Klebsiella variicola,425811,425961
Klebsiella_variicola_L150_R0061,Klebsiella_variicola,Klebsiella,Klebsiella variicola,110816,110966
Klebsiella_variicola_L150_R0063,Klebsiella_variicola,Klebsiella,Klebsiella variicola,468688,468838
Klebsiella_variicola_L150_R0064,Klebsiella_variicola,Klebsiella,Klebsiella variicola,199469,199619
Klebsiella_variicola_L150_R0065,Klebsiella_variicola,Klebsiella,Klebsiella variicola,305359,305509
Klebsiella_variicola_L150_R0070,Klebsiella_variicola,Klebsiella,Klebsiella variicola,424378,424528
Klebsiella_variicola_L150_R0076,Klebsiella_variicola,Klebsiella,Klebsiella variicola,495874,496024
Klebsiella_variicola_L150_R0077,Klebsiella_variicola,Klebsiella,Klebsiella variicola,104528,104678
