genome_ID	OTU	NCBI_ID	novelty_category
RNODE_487_length_5196_cov_22.71473	45202	45202	plasmid
RNODE_394_length_3642_cov_5.12873	32644	32644	unknown
RNODE_38_length_1552_cov_8.47059	45202	45202	plasmid
RNODE_532_length_1573_cov_5.21419	32644	32644	unknown
RNODE_498_length_2044_cov_7.98216	45202	45202	plasmid
RNODE_468_length_1541_cov_8.66960	45202	45202	plasmid
RNODE_362_length_3387_cov_8.21902	45202	45202	plasmid
RNODE_93_length_1501_cov_3.34415	45202	45202	plasmid
RNODE_259_length_1574_cov_100.84149	32644	32644	unknown
RNODE_156_length_3948_cov_63.43887	45202	45202	plasmid
RNODE_290_length_1262_cov_19.53548	32644	32644	unknown
RNODE_531_length_9868_cov_8.44904	1214906	1214906	virus
RNODE_515_length_1754_cov_11.73892	32644	32644	unknown
RNODE_530_length_2571_cov_32.65278	32644	32644	unknown
RNODE_225_length_25884_cov_6.69550	45202	45202	plasmid
RNODE_323_length_1696_cov_4.05556	32644	32644	unknown
RNODE_228_length_3093_cov_6.42006	45202	45202	plasmid
RNODE_350_length_2314_cov_37.19546	32644	32644	unknown
RNODE_50_length_1796_cov_6.24352	45202	45202	plasmid
RNODE_360_length_7414_cov_9.06737	45202	45202	plasmid
RNODE_251_length_2763_cov_28.99562	45202	45202	plasmid
RNODE_159_length_3592_cov_2.43025	32644	32644	unknown
RNODE_315_length_1516_cov_8.44846	45202	45202	plasmid
RNODE_149_length_1949_cov_4.19357	45202	45202	plasmid
RNODE_428_length_4686_cov_43.92415	45202	45202	plasmid
RNODE_25_length_1750_cov_3.28993	32644	32644	unknown
RNODE_89_length_4251_cov_3.70418	32644	32644	unknown
RNODE_67_length_1419_cov_2.86686	32644	32644	unknown
RNODE_147_length_1816_cov_3.48216	32644	32644	unknown
RNODE_134_length_2327_cov_32.11800	32644	32644	unknown
RNODE_218_length_1465_cov_7.29868	32644	32644	unknown
RNODE_258_length_1627_cov_2.34517	45202	45202	plasmid
RNODE_339_length_1478_cov_5.31250	32644	32644	unknown
RNODE_139_length_3589_cov_11.15335	45202	45202	plasmid
RNODE_576_length_3043_cov_26.79081	45202	45202	plasmid
RNODE_324_length_1537_cov_10.20528	45202	45202	plasmid
RNODE_443_length_1591_cov_6.87251	32644	32644	unknown
RNODE_435_length_5602_cov_25.16136	45202	45202	plasmid
RNODE_114_length_10406_cov_5.47746	32644	32644	unknown
RNODE_513_length_2330_cov_8.01964	45202	45202	plasmid
RNODE_474_length_1569_cov_5.24895	45202	45202	plasmid
RNODE_393_length_3465_cov_6.98635	32644	32644	unknown
RNODE_383_length_2253_cov_7.64097	45202	45202	plasmid
RNODE_442_length_4465_cov_7.11694	45202	45202	plasmid
RNODE_291_length_2033_cov_2.59025	32644	32644	unknown
RNODE_355_length_1663_cov_6.12066	45202	45202	plasmid
RNODE_407_length_46658_cov_49.66972	1214906	1214906	virus
RNODE_65_length_5443_cov_3.51540	45202	45202	plasmid
RNODE_158_length_1640_cov_4.51607	32644	32644	unknown
RNODE_308_length_1875_cov_5.96654	45202	45202	plasmid
RNODE_434_length_14801_cov_23.79494	45202	45202	plasmid
RNODE_235_length_2608_cov_55.03480	45202	45202	plasmid
RNODE_521_length_36130_cov_13.94678	32644	32644	unknown
RNODE_320_length_4859_cov_4.38495	45202	45202	plasmid
RNODE_5_length_4125_cov_14.53571	45202	45202	plasmid
RNODE_243_length_1453_cov_2.63382	45202	45202	plasmid
RNODE_277_length_1592_cov_15.82548	45202	45202	plasmid
RNODE_309_length_1659_cov_3.16188	45202	45202	plasmid
RNODE_444_length_4937_cov_48.00188	45202	45202	plasmid
RNODE_150_length_1379_cov_3.97642	32644	32644	unknown
RNODE_180_length_2647_cov_2.76800	32644	32644	unknown
RNODE_31_length_1357_cov_12.09363	45202	45202	plasmid
RNODE_248_length_5318_cov_4.74604	32644	32644	unknown
RNODE_417_length_2670_cov_14.84403	32644	32644	unknown
RNODE_367_length_2322_cov_4.57652	32644	32644	unknown
RNODE_338_length_1509_cov_4.27236	32644	32644	unknown
RNODE_108_length_2015_cov_7.02007	32644	32644	unknown
RNODE_279_length_3658_cov_27.56711	45202	45202	plasmid
RNODE_193_length_1789_cov_7.19864	45202	45202	plasmid
RNODE_107_length_1496_cov_161.33989	45202	45202	plasmid
RNODE_91_length_2298_cov_6.78822	32644	32644	unknown
RNODE_36_length_1303_cov_4.84934	32644	32644	unknown
RNODE_418_length_1505_cov_4.15172	32644	32644	unknown
RNODE_462_length_1528_cov_6.07822	32644	32644	unknown
RNODE_429_length_2129_cov_51.99106	45202	45202	plasmid
RNODE_10_length_6468_cov_8.06035	32644	32644	unknown
RNODE_440_length_3551_cov_9.74435	45202	45202	plasmid
RNODE_392_length_2136_cov_7.00284	32644	32644	unknown
RNODE_346_length_1757_cov_2.65187	45202	45202	plasmid
RNODE_563_length_5038_cov_7.26694	45202	45202	plasmid
RNODE_18_length_1746_cov_2.65719	32644	32644	unknown
RNODE_408_length_3585_cov_3.79764	32644	32644	unknown
RNODE_100_length_1999_cov_6.33080	32644	32644	unknown
RNODE_200_length_4574_cov_2.94178	45202	45202	plasmid
RNODE_539_length_1827_cov_6.73752	32644	32644	unknown
RNODE_263_length_2277_cov_8.44168	45202	45202	plasmid
RNODE_110_length_1672_cov_10.73939	45202	45202	plasmid
RNODE_386_length_2437_cov_8.66377	32644	32644	unknown
RNODE_368_length_1901_cov_5.06386	32644	32644	unknown
RNODE_491_length_3124_cov_17.57383	45202	45202	plasmid
RNODE_229_length_2135_cov_3.06673	32644	32644	unknown
RNODE_493_length_3152_cov_5.77526	45202	45202	plasmid
RNODE_127_length_1885_cov_8.56361	32644	32644	unknown
RNODE_587_length_4088_cov_9.08425	32644	32644	unknown
RNODE_33_length_1778_cov_2.60592	32644	32644	unknown
RNODE_415_length_2147_cov_6.45506	45202	45202	plasmid
RNODE_551_length_4193_cov_74.72016	45202	45202	plasmid
RNODE_336_length_3563_cov_7.20249	45202	45202	plasmid
RNODE_361_length_3164_cov_8.88447	45202	45202	plasmid
RNODE_68_length_2493_cov_6.03116	32644	32644	unknown
RNODE_55_length_2901_cov_27.42654	32644	32644	unknown
RNODE_337_length_8771_cov_5.18162	32644	32644	unknown
RNODE_497_length_1925_cov_6.51336	45202	45202	plasmid
RNODE_374_length_1862_cov_9.75489	45202	45202	plasmid
RNODE_311_length_2760_cov_6.45983	45202	45202	plasmid
RNODE_207_length_2195_cov_3.75886	1214906	1214906	virus
RNODE_459_length_2383_cov_4.68776	45202	45202	plasmid
RNODE_439_length_4196_cov_56.49278	45202	45202	plasmid
RNODE_557_length_1525_cov_6.72562	32644	32644	unknown
RNODE_283_length_5699_cov_25.39792	45202	45202	plasmid
RNODE_137_length_1431_cov_4.57559	32644	32644	unknown
RNODE_205_length_1591_cov_9.63735	45202	45202	plasmid
RNODE_266_length_6653_cov_7.97753	32644	32644	unknown
RNODE_423_length_1943_cov_28.57781	45202	45202	plasmid
RNODE_98_length_2627_cov_21.08829	45202	45202	plasmid
RNODE_48_length_3658_cov_14.59323	45202	45202	plasmid
RNODE_522_length_1263_cov_12.38809	32644	32644	unknown
RNODE_585_length_3212_cov_16.01628	45202	45202	plasmid
RNODE_540_length_1564_cov_3.03735	32644	32644	unknown
RNODE_476_length_1618_cov_4.36943	32644	32644	unknown
RNODE_537_length_3389_cov_22.49108	45202	45202	plasmid
RNODE_481_length_3960_cov_68.08874	45202	45202	plasmid
RNODE_544_length_1578_cov_361.93923	32644	32644	unknown
RNODE_565_length_1563_cov_11.71995	45202	45202	plasmid
RNODE_364_length_1571_cov_3.81278	32644	32644	unknown
RNODE_512_length_1592_cov_43.29688	45202	45202	plasmid
RNODE_420_length_1334_cov_5.52134	45202	45202	plasmid
RNODE_464_length_2364_cov_17.83117	45202	45202	plasmid
RNODE_142_length_2406_cov_5.09941	32644	32644	unknown
RNODE_479_length_5023_cov_17.63107	45202	45202	plasmid
RNODE_94_length_3002_cov_6.48725	45202	45202	plasmid
RNODE_381_length_1819_cov_13.04118	45202	45202	plasmid
RNODE_359_length_13543_cov_22.66711	32644	32644	unknown
RNODE_17_length_1254_cov_4.43994	32644	32644	unknown
RNODE_509_length_6803_cov_457.59293	45202	45202	plasmid
RNODE_342_length_1543_cov_10.88823	45202	45202	plasmid
RNODE_560_length_3911_cov_3.86563	45202	45202	plasmid
RNODE_40_length_6491_cov_8.96924	32644	32644	unknown
RNODE_396_length_4766_cov_5.16589	45202	45202	plasmid
RNODE_456_length_1695_cov_36.79753	32644	32644	unknown
RNODE_523_length_7269_cov_4.49610	32644	32644	unknown
RNODE_73_length_2194_cov_7.49125	45202	45202	plasmid
RNODE_166_length_2298_cov_14.88049	32644	32644	unknown
RNODE_584_length_2761_cov_46.10439	45202	45202	plasmid
RNODE_78_length_5103_cov_8.24306	32644	32644	unknown
RNODE_173_length_1764_cov_3.34845	32644	32644	unknown
RNODE_527_length_1767_cov_4.22840	45202	45202	plasmid
RNODE_90_length_1469_cov_9.25017	32644	32644	unknown
RNODE_366_length_2053_cov_8.47415	32644	32644	unknown
RNODE_62_length_3589_cov_56.75862	45202	45202	plasmid
RNODE_470_length_2095_cov_7.42232	32644	32644	unknown
RNODE_400_length_5708_cov_9.81991	45202	45202	plasmid
RNODE_154_length_1869_cov_12.27991	32644	32644	unknown
RNODE_341_length_3219_cov_3.63466	32644	32644	unknown
RNODE_564_length_8758_cov_6.46781	32644	32644	unknown
RNODE_390_length_5825_cov_8.78167	32644	32644	unknown
RNODE_307_length_2104_cov_13.21902	45202	45202	plasmid
RNODE_126_length_3157_cov_3.75885	32644	32644	unknown
RNODE_265_length_1287_cov_4.20553	32644	32644	unknown
RNODE_318_length_3470_cov_3.16589	45202	45202	plasmid
RNODE_583_length_3095_cov_44.70980	45202	45202	plasmid
RNODE_485_length_1877_cov_10.53943	32644	32644	unknown
RNODE_518_length_1369_cov_4.72490	32644	32644	unknown
RNODE_122_length_6709_cov_4.03320	45202	45202	plasmid
RNODE_455_length_4124_cov_9.17267	45202	45202	plasmid
RNODE_116_length_4192_cov_3.28201	45202	45202	plasmid
RNODE_432_length_14865_cov_28.53268	32644	32644	unknown
RNODE_436_length_6429_cov_48.44919	32644	32644	unknown
RNODE_524_length_1679_cov_2.99128	45202	45202	plasmid
